segment_id_SEG-00313,segment_id_SEG-00483,segment_id_SEG-02129,land_use_Green,land_use_Institutional,land_use_Residential,land_use_Water,storm_drain_type_GratedInlet,storm_drain_type_Manhole,storm_drain_type_OpenChannel,storm_drain_proximity_m
False,False,False,True,False,False,False,False,False,False,137.6
False,False,False,False,False,False,False,True,False,False,3.6
False,False,False,False,False,False,False,False,False,False,86.0
False,False,False,False,False,False,False,True,False,False,88.3
False,False,False,False,False,False,False,False,False,False,56.1
False,False,False,False,False,False,False,True,False,False,1.1
False,False,False,False,False,True,False,False,True,False,30.1
False,False,False,False,False,False,False,False,False,False,120.3
False,False,False,False,False,False,False,False,False,False,64.1
False,False,False,False,False,False,False,True,False,False,108.6
False,False,False,False,False,True,False,False,True,False,80.1
False,False,False,False,False,False,False,False,False,False,94.7
False,False,False,True,False,False,False,False,True,False,219.5
False,False,False,False,False,False,False,False,False,True,131.6
False,False,False,False,False,True,False,False,False,True,202.2
False,False,False,False,False,True,False,True,False,False,161.9
False,False,False,False,False,False,False,True,False,False,28.6
False,False,False,True,False,False,False,False,True,False,257.1
False,False,False,False,False,False,True,False,False,False,9.0
False,False,False,False,False,False,False,False,False,False,95.0
False,False,False,True,False,False,False,False,False,True,123.7
False,False,False,True,False,False,False,False,True,False,22.6
False,False,False,False,False,True,False,False,False,False,73.3
False,False,False,False,False,False,False,True,False,False,108.1
False,False,False,False,False,False,False,False,False,True,267.1
False,False,False,False,False,False,False,False,False,True,123.7
False,False,False,False,False,True,False,False,False,True,240.9
False,False,False,False,False,False,False,False,True,False,38.9
False,False,False,False,False,False,False,False,False,True,170.8
False,False,False,False,False,True,False,False,True,False,27.2
False,False,False,True,False,False,False,False,False,True,463.2
False,False,False,False,False,True,False,False,False,False,112.3
False,False,False,False,False,False,False,False,False,True,266.6
False,False,False,False,False,False,False,False,True,False,49.8
False,False,False,False,False,False,False,False,False,False,62.5
False,False,False,False,False,False,False,False,False,False,100.0
False,False,False,False,False,False,False,False,False,False,44.7
False,False,False,False,False,True,False,True,False,False,26.4
False,False,False,False,False,False,False,False,False,False,86.1
False,False,False,False,False,False,False,False,False,False,4.5
False,False,False,False,False,False,False,False,False,False,20.4
False,False,False,False,False,False,False,True,False,False,188.4
False,False,False,False,False,False,False,False,False,True,193.6
False,False,False,False,True,False,False,False,False,False,239.9
False,False,False,False,False,False,False,False,True,False,6.8
False,False,False,False,False,False,False,True,False,False,17.1
False,False,False,False,False,True,False,False,False,False,19.7
False,False,False,False,False,True,False,False,True,False,11.8
False,False,False,False,False,False,False,False,False,True,308.4
False,False,False,False,False,False,False,True,False,False,86.0
False,False,False,True,False,False,False,True,False,False,223.1
False,False,False,False,False,False,False,False,False,False,56.4
False,False,False,False,False,True,False,False,False,False,80.7
False,False,False,True,False,False,False,False,False,False,316.4
False,False,False,False,False,True,False,True,False,False,18.9
False,False,False,True,False,False,False,False,False,False,583.4
False,False,False,False,True,False,False,True,False,False,375.4
False,False,False,False,False,False,False,False,False,False,1.2
False,False,False,False,False,False,False,False,False,True,330.0
False,False,False,False,False,True,False,True,False,False,175.0
False,False,False,False,False,False,False,False,True,False,94.4
False,False,False,False,False,False,False,True,False,False,94.7
False,False,False,False,False,True,False,False,False,False,134.4
False,False,False,False,False,False,False,True,False,False,90.8
False,False,False,False,False,False,False,False,True,False,21.0
False,False,False,False,False,False,False,True,False,False,11.5
False,False,False,False,False,True,False,False,False,True,86.8
False,False,False,False,False,True,False,False,False,True,107.1
False,False,False,False,False,True,False,False,True,False,86.0
False,False,False,False,False,False,True,True,False,False,79.8
False,False,False,False,False,False,False,False,False,True,177.3
False,False,False,False,False,False,True,False,True,False,204.7
False,False,False,False,False,False,False,True,False,False,74.4
False,False,False,False,False,True,False,False,False,False,30.6
False,False,False,False,False,False,False,False,True,False,91.8
False,False,False,True,False,False,False,False,False,True,199.9
False,False,False,False,False,False,False,False,False,False,15.8
False,False,False,False,False,False,False,False,False,False,177.5
False,False,False,False,False,False,False,False,False,False,9.3
False,False,False,False,False,True,False,False,True,False,6.5
False,False,False,False,False,False,False,False,True,False,97.2
False,False,False,False,False,False,False,False,False,False,86.2
False,False,False,False,False,True,False,False,False,False,94.2
False,False,False,False,False,True,False,False,True,False,155.6
False,False,False,False,False,True,False,False,True,False,27.7
False,False,False,False,False,False,False,False,False,False,119.9
False,False,False,True,False,False,False,False,False,True,155.8
False,False,False,False,False,False,False,False,False,False,41.6
False,False,False,True,False,False,False,True,False,False,156.4
False,False,False,False,False,False,False,False,False,True,45.7
False,False,False,False,False,True,False,False,True,False,111.7
False,False,False,False,False,True,False,True,False,False,107.7
False,False,False,False,False,True,False,True,False,False,5.7
False,False,False,False,False,True,False,False,True,False,11.8
False,False,False,False,False,True,False,False,False,False,65.4
False,False,False,False,False,True,False,False,True,False,60.5
False,False,False,False,False,True,False,False,False,False,48.0
False,False,False,False,False,False,False,False,False,False,30.8
True,False,False,False,False,True,False,False,False,False,669.5
False,False,False,False,False,False,False,False,False,True,178.5
False,False,False,False,False,False,False,False,True,False,19.8
False,False,False,False,False,False,False,False,True,False,99.8
False,False,False,False,False,False,False,True,False,False,84.0
False,False,False,False,False,False,False,False,False,False,113.8
False,False,False,False,False,False,False,True,False,False,76.1
False,False,False,False,False,False,False,False,False,False,137.3
False,False,False,True,False,False,False,False,False,False,375.6
False,False,False,False,False,False,False,False,True,False,95.3
False,False,False,True,False,False,False,False,False,True,74.9
False,False,False,False,False,False,False,False,True,False,88.9
False,False,False,False,False,False,False,False,True,False,80.6
False,False,False,False,True,False,False,False,False,False,253.6
False,False,False,True,False,False,False,False,False,False,110.6
False,False,False,False,False,False,False,False,False,False,126.7
False,False,False,False,False,False,False,False,True,False,52.8
False,False,False,False,False,True,False,False,True,False,153.4
False,False,False,False,False,False,False,True,False,False,51.2
False,False,False,True,False,False,False,False,True,False,200.0
False,False,False,False,False,False,False,False,False,False,251.3
False,False,False,False,False,False,True,False,False,True,66.8
False,False,False,False,False,False,False,False,False,True,154.7
False,False,False,False,False,False,False,False,False,True,128.0
False,False,False,False,False,False,False,False,False,True,162.7
False,False,False,False,False,True,False,False,False,False,100.2
False,False,False,True,False,False,False,True,False,False,394.9
False,False,False,False,False,True,False,False,True,False,37.8
False,False,False,False,False,True,False,True,False,False,96.6
False,False,False,False,False,False,False,False,False,False,43.2
False,False,False,True,False,False,False,False,False,False,23.6
False,False,False,True,False,False,False,False,False,True,246.5
False,False,False,False,False,True,False,True,False,False,44.2
False,False,False,False,False,False,False,True,False,False,14.4
False,False,False,False,False,False,False,False,False,False,39.8
False,False,False,False,False,False,False,False,True,False,148.0
False,False,False,False,False,False,False,True,False,False,20.7
False,False,False,False,False,False,False,False,True,False,83.3
False,False,False,False,False,False,False,False,True,False,58.8
False,False,False,False,True,False,False,True,False,False,190.7
False,False,False,False,False,True,False,False,False,False,363.5
False,False,False,False,False,False,False,False,False,False,3.2
False,False,False,False,False,False,False,False,False,False,39.2
False,False,False,False,False,False,False,False,True,False,223.2
False,False,False,False,False,False,True,True,False,False,183.4
False,False,False,False,False,True,False,False,False,True,50.9
False,False,False,True,False,False,False,True,False,False,71.4
False,False,False,False,False,False,False,False,True,False,145.2
False,False,False,False,False,False,False,False,False,False,58.1
False,False,False,False,False,False,False,False,False,False,95.2
False,False,False,False,False,False,False,False,True,False,153.9
False,False,False,False,False,False,False,True,False,False,76.3
False,False,False,True,False,False,False,False,False,False,296.0
False,False,False,False,False,False,False,False,False,False,40.4
False,False,False,False,False,False,False,True,False,False,73.7
False,False,False,False,False,False,False,False,False,False,75.5
False,False,False,False,False,False,False,True,False,False,17.0
False,False,False,False,False,True,False,False,False,True,113.5
False,False,False,False,False,False,False,False,False,False,76.0
False,False,False,False,False,True,False,True,False,False,41.4
False,False,False,False,False,False,False,False,True,False,183.2
False,False,False,False,False,True,False,False,True,False,133.5
False,False,False,False,False,True,False,False,True,False,87.8
False,False,False,True,False,False,False,False,True,False,355.1
False,False,False,False,False,True,False,False,False,True,45.1
False,False,False,False,False,True,False,False,False,False,114.7
False,False,False,False,False,False,False,False,False,False,13.1
False,False,False,False,False,False,False,False,False,True,422.4
False,False,False,False,False,False,False,False,True,False,52.3
False,False,False,False,False,True,False,False,False,False,33.5
False,False,False,False,False,True,False,True,False,False,80.4
False,False,False,False,False,False,False,False,True,False,11.1
False,False,False,False,False,True,False,True,False,False,71.3
False,False,False,False,False,True,False,True,False,False,31.6
False,False,False,True,False,False,False,False,True,False,450.9
False,False,False,False,False,True,False,False,True,False,54.0
False,False,False,False,False,True,False,False,False,True,257.9
False,False,False,False,False,False,False,False,False,False,71.3
False,False,False,True,False,False,False,False,False,False,140.7
False,False,False,False,False,False,False,True,False,False,58.3
False,False,False,False,False,False,False,True,False,False,63.5
False,False,False,False,False,True,False,True,False,False,53.4
False,False,False,False,False,True,False,False,False,True,98.2
False,False,False,False,False,False,False,False,True,False,9.7
False,False,False,False,True,False,False,False,False,False,1.0
False,False,False,False,False,False,False,False,True,False,59.8
False,False,False,False,False,False,False,False,True,False,21.3
False,False,False,False,False,True,False,False,False,False,425.2
False,False,False,False,False,False,False,False,True,False,123.3
False,False,False,False,False,False,False,False,True,False,93.2
False,False,False,False,False,False,False,True,False,False,9.0
False,False,False,False,False,False,False,False,False,True,114.4
False,False,False,False,False,True,False,False,False,False,112.1
False,False,False,False,False,False,True,False,False,False,142.9
False,False,False,False,False,True,False,False,False,False,30.1
False,False,False,False,False,False,False,False,False,True,283.4
False,False,False,False,False,False,False,False,False,False,9.5
False,False,False,False,False,True,False,True,False,False,66.7
False,False,False,False,False,False,False,False,False,False,103.7
False,False,False,False,False,True,False,False,False,False,188.5
False,False,False,False,False,False,False,False,True,False,23.3
False,False,False,False,False,False,False,False,False,False,338.4
False,False,False,True,False,False,False,True,False,False,278.3
False,False,False,False,False,False,False,False,True,False,31.4
False,False,False,False,False,False,False,False,False,True,152.2
False,False,False,False,False,False,False,False,False,True,163.5
False,False,False,True,False,False,False,False,False,False,157.9
False,False,False,False,False,False,False,False,False,False,29.9
False,False,False,False,False,True,False,False,False,False,84.2
False,False,False,False,False,True,False,False,False,True,118.8
False,False,False,False,False,False,False,False,False,False,75.2
False,False,False,False,False,False,False,False,True,False,9.4
False,False,False,False,False,True,False,False,False,True,126.8
False,False,False,False,False,False,False,True,False,False,11.1
False,False,False,False,False,True,False,False,True,False,13.4
False,False,False,False,False,True,False,False,False,True,189.0
False,False,False,False,False,False,False,False,False,False,239.4
False,False,False,False,False,False,False,False,False,False,95.8
False,False,False,False,False,False,True,False,True,False,91.3
False,False,False,False,False,False,False,False,False,True,114.7
False,False,False,False,False,False,False,False,False,False,136.8
False,False,False,False,False,True,False,False,False,False,31.4
False,False,False,False,False,False,False,True,False,False,29.0
False,False,False,False,False,False,False,True,False,False,124.7
False,False,False,False,False,False,False,False,False,False,54.2
False,False,False,False,False,True,False,True,False,False,159.9
False,False,False,False,False,True,False,False,True,False,38.9
False,False,False,False,False,False,False,False,False,False,88.4
False,False,False,False,False,False,False,False,True,False,130.9
False,False,False,False,False,False,False,False,False,True,118.0
False,False,False,False,False,False,False,True,False,False,138.8
False,False,False,False,False,False,True,True,False,False,297.9
False,False,False,False,False,False,False,True,False,False,53.2
False,False,False,False,False,False,False,False,False,False,118.8
False,False,False,False,True,False,False,False,False,True,46.8
False,False,False,False,False,True,False,False,False,False,88.7
False,False,False,True,False,False,False,False,True,False,59.3
False,False,False,True,False,False,False,False,False,False,455.4
False,False,False,False,False,False,False,True,False,False,83.3
False,False,False,True,False,False,False,False,False,False,180.7
False,False,False,False,False,False,False,True,False,False,71.4
False,False,False,False,False,False,False,True,False,False,46.9
False,False,False,False,False,True,False,False,False,True,110.0
False,False,False,False,False,False,False,False,True,False,104.5
False,False,False,False,False,False,False,True,False,False,50.1
False,False,False,False,False,True,False,False,True,False,9.4
False,False,False,False,False,True,False,False,True,False,43.5
False,False,False,False,False,False,False,False,False,False,61.0
False,False,False,False,False,True,False,False,False,True,291.5
False,False,False,True,False,False,False,False,False,True,241.6
False,False,False,True,False,False,False,False,True,False,90.0
False,False,False,False,False,False,False,False,True,False,92.6
False,False,False,False,False,False,False,False,False,False,68.3
False,False,False,True,False,False,False,False,True,False,3.6
False,False,False,True,False,False,False,False,True,False,205.7
False,False,False,False,False,False,False,False,False,False,32.1
False,False,False,False,False,False,False,True,False,False,80.4
False,False,False,True,False,False,False,False,False,True,271.2
False,False,False,False,False,True,False,False,False,False,105.7
False,False,False,False,False,False,False,False,False,False,38.4
False,True,False,False,False,False,False,False,False,False,668.1
False,False,False,False,False,False,True,False,True,False,278.3
False,False,False,False,False,True,False,False,True,False,3.2
False,False,False,False,False,False,False,True,False,False,47.7
False,False,False,False,True,False,False,False,True,False,312.5
False,False,False,False,False,False,False,False,False,False,86.1
False,False,False,False,False,False,False,False,True,False,52.1
False,False,False,False,False,False,False,False,False,False,374.8
False,False,False,False,False,False,False,False,False,True,90.8
False,False,False,True,False,False,False,True,False,False,210.8
False,False,False,True,False,False,False,False,True,False,35.0
False,False,False,False,False,False,False,False,False,True,436.5
False,False,False,False,False,False,False,False,True,False,127.7
False,False,False,False,False,False,False,False,True,False,42.6
False,False,False,False,False,False,False,False,False,False,45.6
False,False,False,False,False,True,False,False,True,False,138.1
False,False,False,False,False,True,False,False,True,False,60.3
False,False,False,False,False,True,False,False,False,False,50.9
False,False,False,False,False,False,True,False,False,True,106.2
False,False,False,False,False,False,False,False,False,False,17.7
False,False,False,False,True,False,False,False,False,True,112.2
False,False,False,False,False,False,False,False,True,False,34.2
False,False,False,False,False,True,False,False,False,False,534.9
False,False,False,False,False,True,False,False,False,False,74.0
False,False,False,False,False,True,False,False,False,False,102.7
False,False,False,False,False,False,False,False,True,False,105.0
False,False,False,False,False,False,True,False,False,False,145.5
False,False,False,False,False,False,False,False,False,False,452.9
False,False,False,False,False,False,False,False,False,False,105.3
False,False,False,False,False,False,False,False,False,False,67.8
False,False,False,False,False,True,False,False,False,True,94.6
False,False,False,False,False,False,False,True,False,False,105.6
False,False,False,False,False,False,False,False,False,False,46.1
False,False,False,False,True,False,False,False,True,False,196.5
False,False,False,False,False,False,False,False,True,False,48.7
False,False,False,False,False,False,False,False,True,False,116.0
False,False,False,True,False,False,False,False,True,False,76.2
False,False,False,False,False,True,False,False,False,True,307.4
False,False,False,False,True,False,False,True,False,False,188.9
False,False,False,False,False,False,False,False,False,True,180.4
False,False,False,False,False,True,False,True,False,False,84.6
False,False,False,False,False,False,False,False,False,True,17.5
False,False,False,False,False,False,False,False,False,False,130.5
False,False,False,False,False,True,False,False,False,True,87.5
False,False,False,True,False,False,False,False,True,False,169.9
False,False,False,False,False,True,False,False,True,False,96.6
False,False,False,True,False,False,False,False,False,False,183.0
False,False,False,False,False,False,False,False,True,False,93.5
False,False,False,True,False,False,False,False,False,False,395.6
False,False,False,False,False,False,False,False,False,False,85.7
False,False,False,False,False,False,False,False,True,False,48.5
False,False,False,False,False,False,False,False,False,True,248.2
False,False,False,False,True,False,False,True,False,False,98.7
False,False,False,False,False,False,False,True,False,False,75.2
False,False,False,False,False,True,False,True,False,False,41.7
False,False,False,False,False,False,False,False,False,False,76.0
False,False,False,False,False,False,False,False,False,False,83.1
False,False,False,False,False,False,False,True,False,False,104.5
False,False,False,False,False,True,False,False,False,False,121.9
False,False,False,False,False,True,False,False,True,False,154.4
False,False,False,False,False,False,False,False,True,False,64.7
False,False,False,False,False,False,False,False,True,False,152.9
False,False,False,True,False,False,False,False,True,False,175.3
False,False,False,False,False,False,False,False,False,False,18.8
False,False,False,False,False,False,True,False,True,False,174.9
False,False,False,False,False,True,False,False,True,False,2.8
False,False,False,False,False,True,False,False,False,True,264.1
False,False,False,True,False,False,False,False,True,False,173.1
False,False,False,False,False,False,False,False,False,False,20.2
False,False,False,False,False,False,False,False,False,False,29.7
False,False,False,False,False,False,False,False,False,True,263.3
False,False,False,False,False,False,False,True,False,False,69.8
False,False,False,False,False,False,False,False,True,False,7.1
False,False,False,False,False,True,False,False,True,False,68.5
False,False,False,False,False,False,False,False,False,False,29.8
False,False,False,False,False,False,False,False,True,False,96.5
False,False,False,False,False,False,False,False,False,True,301.6
False,False,False,False,False,True,False,False,False,True,224.0
False,False,False,False,False,False,False,False,False,True,31.4
False,False,False,False,True,False,False,False,False,True,428.5
False,False,False,True,False,False,False,False,False,False,138.8
False,False,False,False,False,False,False,False,False,False,35.4
False,False,False,False,False,False,False,False,True,False,1.1
False,False,False,False,False,False,False,True,False,False,113.2
False,False,False,False,False,True,False,False,False,False,168.4
False,False,False,False,False,False,False,True,False,False,74.1
False,False,False,False,False,False,False,False,True,False,18.9
False,False,False,False,False,False,False,True,False,False,64.9
False,False,False,False,False,True,False,False,True,False,97.1
False,False,False,False,False,False,False,True,False,False,18.8
False,False,False,False,False,False,False,False,False,True,236.8
False,False,False,False,False,False,False,False,True,False,90.2
False,False,False,False,False,False,False,False,False,False,6.4
False,False,False,False,False,False,False,False,False,False,262.4
False,False,False,False,False,True,False,False,False,False,95.6
False,False,False,False,False,False,False,False,True,False,76.2
False,False,False,False,False,False,False,False,True,False,7.3
False,False,False,False,False,False,False,False,True,False,95.2
False,False,False,False,False,False,False,False,True,False,67.1
False,False,False,False,False,False,False,False,False,False,48.6
False,False,False,False,False,False,False,False,False,True,227.1
False,False,False,False,False,True,False,False,False,True,114.2
False,False,False,False,False,False,False,False,False,True,82.4
False,False,False,False,False,False,False,False,True,False,51.5
False,False,False,False,False,False,False,False,True,False,124.8
False,False,False,False,False,True,False,False,False,False,38.1
False,False,False,False,False,False,False,False,False,True,259.5
False,False,False,False,False,True,False,False,False,False,20.8
False,False,False,False,False,False,False,False,True,False,81.9
False,False,False,False,False,False,False,False,False,False,23.4
False,False,False,False,False,True,False,False,False,True,395.8
False,False,False,False,False,False,False,False,True,False,140.8
False,False,False,False,False,False,False,False,False,False,447.1
False,False,False,False,False,False,False,False,True,False,92.1
False,False,False,False,False,False,False,True,False,False,12.7
False,False,False,False,False,False,False,False,False,False,463.5
False,False,False,True,False,False,False,False,False,False,27.5
False,False,False,False,False,True,False,False,False,False,38.1
False,False,False,False,False,False,False,False,False,True,360.6
False,False,False,True,False,False,False,False,False,True,462.7
False,False,False,False,False,True,False,False,False,True,231.3
False,False,False,False,False,False,False,False,False,True,161.2
False,False,False,False,False,False,False,False,False,False,126.3
False,False,False,False,False,True,False,False,False,True,283.8
False,False,False,False,False,True,False,False,True,False,79.0
False,False,False,False,False,True,False,True,False,False,38.4
False,False,False,False,False,False,False,False,False,True,146.0
False,False,False,False,False,True,False,False,True,False,88.5
False,False,False,False,False,False,False,False,False,False,87.2
False,False,False,False,False,False,True,True,False,False,301.4
False,False,False,False,False,False,False,False,False,False,205.0
False,False,False,False,False,True,False,True,False,False,186.7
False,False,False,False,False,False,True,True,False,False,147.5
